ROW;COL;TUBEx
1;4;TUBE.2
1;6;TUBE.3
1;8;TUBE.4
1;10;TUBE.5
1;12;TUBE.6
1;14;TUBE.7
1;16;TUBE.8
1;18;TUBE.9
1;20;TUBE.10
1;22;TUBE.11
1;24;TUBE.12
1;26;TUBE.13
1;28;TUBE.14
1;60;TUBE.30
1;62;TUBE.31
1;64;TUBE.32
1;66;TUBE.33
1;68;TUBE.34
1;70;TUBE.35
1;72;TUBE.36
1;74;TUBE.37
1;76;TUBE.38
1;78;TUBE.39
1;80;TUBE.40
1;82;TUBE.41
1;84;TUBE.42
1;86;TUBE.43
2;1;TUBE.87
2;3;TUBE.88
2;5;TUBE.89
2;7;TUBE.90
2;9;TUBE.91
2;11;TUBE.92
2;13;TUBE.93
2;15;TUBE.94
2;17;TUBE.95
2;19;TUBE.96
2;21;TUBE.97
2;23;TUBE.98
2;25;TUBE.99
2;27;TUBE.100
2;29;TUBE.101
2;59;TUBE.116
2;61;TUBE.117
2;63;TUBE.118
2;65;TUBE.119
2;67;TUBE.120
2;69;TUBE.121
2;71;TUBE.122
2;73;TUBE.123
2;75;TUBE.124
2;77;TUBE.125
2;79;TUBE.126
2;81;TUBE.127
2;83;TUBE.128
2;85;TUBE.129
2;87;TUBE.130
3;2;TUBE.175
3;4;TUBE.176
3;6;TUBE.177
3;8;TUBE.178
3;10;TUBE.179
3;12;TUBE.180
3;14;TUBE.181
3;16;TUBE.182
3;18;TUBE.183
3;20;TUBE.184
3;22;TUBE.185
3;24;TUBE.186
3;26;TUBE.187
3;28;TUBE.188
3;60;TUBE.204
3;62;TUBE.205
3;64;TUBE.206
3;66;TUBE.207
3;68;TUBE.208
3;70;TUBE.209
3;72;TUBE.210
3;74;TUBE.211
3;76;TUBE.212
3;78;TUBE.213
3;80;TUBE.214
3;82;TUBE.215
3;84;TUBE.216
3;86;TUBE.217
4;3;TUBE.261
4;5;TUBE.262
4;7;TUBE.263
4;9;TUBE.264
4;11;TUBE.265
4;13;TUBE.266
4;15;TUBE.267
4;17;TUBE.268
4;19;TUBE.269
4;21;TUBE.270
4;23;TUBE.271
4;25;TUBE.272
4;27;TUBE.273
4;29;TUBE.274
4;59;TUBE.289
4;61;TUBE.290
4;63;TUBE.291
4;65;TUBE.292
4;67;TUBE.293
4;69;TUBE.294
4;71;TUBE.295
4;73;TUBE.296
4;75;TUBE.297
4;77;TUBE.298
4;79;TUBE.299
4;81;TUBE.300
4;83;TUBE.301
4;85;TUBE.302
4;87;TUBE.303
5;2;TUBE.347
5;4;TUBE.348
5;6;TUBE.349
5;8;TUBE.350
5;10;TUBE.351
